Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Monthly_Balance,Credit_Score
61,34592,1933,6,5,9.9,1,47,3,71482,12.82,14,1041,4905,Poor
26,48657,3530,5,1,16.22,5,41,13,28893,45.43,9,26523,1851,Poor
31,111506,9157,3,5,8.11,2,6,2,49797,13.7,28,11270,80131,Good
37,125791,9570,6,8,15.72,3,5,9,47400,56.96,23,2279,7006,Standard
63,49871,4738,3,2,22.11,0,24,8,59429,62.21,12,5329,49520,Poor
43,47460,4327,3,2,17.18,1,34,7,21417,46.6,9,20971,91198,Poor
56,48785,4467,3,1,9.58,0,51,10,52581,29.1,7,29921,75341,Poor
41,47869,4331,4,7,22.69,5,29,4,34718,17.57,24,18394,71644,Poor
37,117912,10023,4,7,12.24,1,32,15,11915,73.02,28,3592,21033,Standard
61,40969,4036,6,7,16.93,3,24,14,69352,27.63,18,28206,2504,Poor
64,114466,8772,6,5,20.37,2,7,9,56985,19.23,1,23661,95329,Standard
37,147387,12307,2,2,22.41,2,53,6,20032,38.65,6,17674,70514,Standard
21,98504,7871,4,1,7.24,2,56,9,31385,10.21,29,18591,11322,Standard
26,115932,9656,1,3,7.57,3,60,5,34741,52.49,20,13865,28760,Poor
55,118994,10410,6,4,19.26,3,42,11,57422,85.97,15,3965,33493,Poor
35,28392,2058,1,4,16.77,0,4,1,30007,11.07,2,28168,44309,Standard
25,87391,6769,3,8,9.28,1,46,15,31850,75.62,26,13338,25957,Poor
27,32704,3074,4,6,13.47,3,55,1,12899,10.46,24,11118,15322,Standard
36,45112,3148,5,8,7.8,1,17,14,32742,83.7,3,14520,73132,Poor
27,26630,2554,5,1,24.38,1,10,13,63653,48.32,28,13141,8685,Poor
31,69672,4810,4,5,23.53,3,18,13,72845,64.57,16,5072,25890,Poor
39,48534,5027,1,1,19.96,0,3,15,65909,87.74,17,5158,8455,Poor
53,30500,3284,2,2,16.9,5,55,7,52923,15.79,29,18667,33271,Poor
58,97924,7241,5,2,13.38,4,36,10,34179,23.38,23,10295,32285,Standard
37,71876,5257,6,5,14.14,0,0,14,73792,94.65,3,17617,28938,Poor
53,54760,3834,3,2,22.59,2,18,5,57433,80.04,23,9912,81173,Poor
62,89329,6460,6,5,23.64,0,60,4,34664,15.39,4,24327,73512,Standard
30,55697,4218,5,4,19.35,1,43,8,66244,48.97,29,29758,7658,Poor
26,103136,8461,3,1,5.07,1,40,8,21178,71.71,18,23123,57057,Poor
56,21267,1001,1,3,15.91,2,37,4,56333,16.47,10,11948,6229,Poor
43,47535,4357,2,2,12.07,4,56,13,20257,88.32,8,28331,22299,Poor
32,135528,11138,1,3,19.73,2,50,13,32527,29.01,26,22979,15168,Standard
45,134316,10272,4,4,8.99,3,22,9,29831,25.06,22,6328,53227,Standard
42,56517,5479,1,5,12.02,4,25,10,3617,15.38,9,5851,77099,Poor
